Processador,Processador (score),Placa de Vídeo,Placa de video (score),Memória de Vídeo (GB),RAM (GB),SSD (GB),HD (GB),Fonte (W),Preco (R$)
AMD Ryzen 5 4600G,15608.00,GeForce RTX 3050,12709.00,8,8,240,0,600,4636.26
AMD Ryzen 5 4600G,15608.00,Radeon RX 550,2724.00,4,8,240,0,400,3291.48
AMD Ryzen 5 4600G,15608.00,Radeon RX 6700 XT,19300.00,12,16,240,0,500,4533.00
AMD Ryzen 5 4600G,15608.00,Radeon Vega 7,1299.00,2,8,256,0,500,2718.00
AMD Ryzen 5 4600G,15608.00,Radeon Vega 8,1588.00,4,8,256,0,400,2159.00
AMD Ryzen 5 5500,19465.00,GeForce GTX 1060,10066.00,3,8,240,0,500,3737.35
AMD Ryzen 5 5500,19465.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3800.59
AMD Ryzen 5 5500,19465.00,GeForce RTX 2060,13985.00,6,8,240,0,550,4467.24
AMD Ryzen 5 5500,19465.00,Radeon RX 550,2724.00,4,8,240,0,500,2989.41
AMD Ryzen 5 5500,19465.00,Radeon RX 6400,6941.00,4,8,240,0,500,3411.55
AMD Ryzen 5 5500,19465.00,Radeon RX 6650 XT,17705.00,8,8,240,0,600,3949.00
AMD Ryzen 5 5600G,19834.00,GeForce RTX 3060,17064.00,12,16,960,0,650,6270.58
AMD Ryzen 5 5600G,19834.00,Quadro T1000,6542.00,4,16,240,2000,500,6578.53
AMD Ryzen 5 5600G,19834.00,Radeon RX 6600,14496.00,8,16,240,0,650,6222.49
AMD Ryzen 5 5600G,19834.00,Radeon RX 6650 XT,17705.00,8,8,240,0,500,6352.61
AMD Ryzen 5 5600G,19834.00,Radeon RX 6700 XT,19300.00,12,16,240,0,650,6765.34
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,8,240,0,350,2744.00
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,8,240,0,400,2727.24
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,8,240,0,400,2839.00
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,16,480,0,400,3352.00
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,8,256,0,500,2999.00
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,16,960,0,500,3510.00
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,8,0,500,500,3358.80
AMD Ryzen 5 5600G,19834.00,Radeon Vega 7,1299.00,2,16,480,0,600,3099.00
AMD Ryzen 5 5600X,21948.00,GeForce GTX 1060,10066.00,3,8,240,0,500,5148.00
AMD Ryzen 5 5600X,21948.00,GeForce GTX 1650,7820.00,4,8,240,0,500,5155.23
AMD Ryzen 5 5600X,21948.00,GeForce RTX 2060,13985.00,6,8,240,0,500,6363.71
AMD Ryzen 5 5600X,21948.00,GeForce RTX 3050,12709.00,8,8,240,0,650,5994.37
AMD Ryzen 5 5600X,21948.00,GeForce RTX 3060,17064.00,12,16,480,0,600,7211.75
AMD Ryzen 5 5600X,21948.00,Quadro T1000,6542.00,4,16,240,2000,500,7606.69
